老朽	老而 衰败 老朽 以终
别有风味	风味 原指 美好 口味 引伸 事物 特色 另有 一种 美好 口味 比喻 事物 色彩 趣味
别出心裁	心裁 心中 设计 筹划 另有 一种 构思 设计 指想 办法 与众不同
独具特色	NONE
自成一家	指在 某一方面 学问 技术 独到 见解 独特 做法 自成体系
自成一体	NONE
独具一格	单独 一种 特别 风格 格调
匠心独具	工巧 独特 艺术 构思
异军突起	异军 一支 军队 比喻 一支 新生力量
各具特色	独特 风格
特色牌	NONE
合格	合乎 标准
够格	资格
及格	考试 学科 成绩 标准
过关	关口
过得去	过意 用于 反问 二刻 拍案惊奇 卷 十五 妇人 寻思 一回 道 家中 出止 猪 指望 卖来 救夫 骗 眼见得 丈夫 仔细 上害 心下 过得去 性命 儿女 英雄传 三五回 磕个头 过得去
沾边	接近 略有 接触
马马虎虎	形容 做事 马虎 随便
通关	打通关
瑕不掩瑜	瑕 玉 斑点 比喻 缺点 掩 遮盖 瑜 美玉 光泽 比喻 优点 比喻 缺点 掩盖 优点 缺点 次要 优点
大醇小疵	醇 纯正 疵 毛病 纯正 略有 缺点
未可厚非	厚非 过分 责难 责备 过分 责备 指 说话 做事 虽有 缺点 可取之处 应予 谅解
分档	分开 档次
容易	可能性
简易	简单
轻易	形 简单 随随便便 轻率
便当	适合 特定 情景 条件
易于	可能性 很大
易	费力 难 容 ～～ 对付
好	优点 满意 坏 汉 歹 事多磨
易如反掌	翻 手掌 比喻 事情 非常容易 做
轻而易举	形容 事情 做 不费力气
俯拾皆是	低下头来 捡取 形容 易得
信手拈来	NONE
唾手可得	唾手 手上 吐 唾沫 动手 比喻 极容易
垂手而得	垂垂 下手 不动 形容 毫不费力
探囊取物	囊 口袋 探囊 向袋 里 摸取 伸手 口袋 里 东西 比喻 轻而易举 办成 某件事 情
瓮中之鳖	困在 瓮中 甲鱼 比喻 之中 逃跑 东西
手到擒拿	作战 时手 一到 敌人 捉 比喻 事情 毫不费力 获得成功
一挥而就	挥 挥笔 成功 动笔 写成 形容 写字 写文章 画画
一蹴而就	蹴 踏 成功 踏 一步 成功 比喻 事情 轻而易举 一下子 成功
一拍即合	打拍子 合上 曲子 节奏 比喻
迎刃而解	原意 说 劈 竹子 时 头上 几节 一破开 刀口 裂开 比喻 事情 解决问题 顺利
不费吹灰之力	形容 事情 做 非常容易 不花 一点 力气
瓮中捉鳖	从大 坛子 里 捉 王八 比喻 想要 捕捉 对象 之中 形容 手到擒来 轻易 有把握
手到擒来	擒捉 原指 作战 一下子 敌人 捉拿 比喻 做事 有把握 费力 做好
好找	NONE
俯拾即是	NONE
不难	办到 事情
博大精深	博广多 形容 思想 学识 广博 高深
费解	不好 理解 不好 懂
百思不解	百 解 理解 百般 思索 理解
实至名归	实 成就 名 名誉 到来 学识 本领 功业 自然 声誉
名符其实	名声 名义 相符 名副其实
片面	非 偏于
管窥	管中窥物 喻 目光短浅 见闻 不广
挂一漏万	挂钩 取 指说 提到 漏 遗漏 形容 说 不全 遗漏
一鳞半爪	原指龙 云 中东 露一鳞西露 半爪 看不到 全貌 比喻 零星 片段 事物
东鳞西爪	原 指画 龙时 龙体 云 遮住 东边 画 龙 鳞 西边 露 一只 龙爪 不见 龙 全身 比喻 零星 片段 事物
断章取义	断 截断 章 音乐 一曲 一章 指 不顾 全篇文章 谈话 内容 孤立 地取 一段 一句 指 引用 原意 不符
瞎子摸象	比喻 事物 一知半解 全局 作 判断
管窥所及	NONE
管中窥豹	竹管 小孔 里 看豹 豹 身上 一块 斑纹 比喻 事物 一部分 指所见 略有 所得
窥豹一斑	竹管 小孔 里 看豹 豹 身上 一块 斑纹 比喻 事物 一部分 指所见 略有 所得
坐井观天	NONE
畸轻畸重	畸偏 偏轻 偏重 形容 事物 发展 均衡 事物 态度 公正
断章取义	断 截断 章 音乐 一曲 一章 指 不顾 全篇文章 谈话 内容 孤立 地取 一段 一句 指 引用 原意 不符
一面之词	争执 中 一方 所说
以偏概全	以用 偏 片面 概括 全 片面 观点 看待 整体
盲人摸象	比喻 事物 片面 局部 经验 乱加 猜测 想 做出 判断
单边	NONE
箭不虚发	NONE
有的放矢	箭靶子 矢箭 放箭 对准 靶子 比喻 说话 做事 针对性
百发百中	NONE
百步穿杨	一百步 远 射中 杨柳 叶子 形容 箭法 枪法 高明
弹无虚发	弹 弹子 子弹 弹子 子弹 颗颗 中靶 一颗 打出 靶外 形容 百发百中
百无一失	形容 把握 出差错
万无一失	NONE
十拿九稳	比喻 有把握
稳拿把攥	NONE
中肯	指 言论 正中要害 扼要 肯切
一语破的	箭靶 中心 一句 话 说 中 要害
一语道破	道 说破 揭穿 一句 话 说穿
一针见血	比喻 说话 直截了当 切中要害
言必有中	中正 指一 说话 说 点子
正中要害	NONE
识破天机	NONE
一语破的	箭靶 中心 一句 话 说 中 要害
不足为凭	当作 凭证
不足为训	足够 上训 法则 典范 值得 效法 准则 榜样
靠不住	可靠 信
狗屁	指 所说 所写 一无是处 俗语
盲目	双眼 失明
脱误	文字 脱漏 错误 泛指 疏忽 失误
名正言顺	名 名分 名义 顺当 原 指名 分 正当 说话 多指 做 某事 名义 正当 道理 说 得通
理直气壮	理直 理由 正确 气壮 气势 旺盛 理由 说话 气势 壮
义正词严	义 道理 词 言辞 道理 正当 公允 严肃 措词 作 义正辞严 辞严义正 辞严意正 词 严理 正 正义 严辞
振振有词	理直气壮 样子 形容 理由 说个 不休
言之成理	代词 指 所说 话 说 道理
顺理成章	依顺 理 条理 章 章法 指 写文章 做 事情 条理 做好 比喻 某种 情况 自然 某种
天经地义	NONE
言之有理	说 道理
无理	道理 理由
理亏	理由 充足 道理
理屈	理亏 不合 道理
输理	站不住脚 道理 争执 中 理由 充足
勉强	能力 而强
主观	受 偏见 局限性 限定 特定 特有
不科学	NONE
不合理	NONE
不合情理	NONE
说不过去	不合情理 交代
理屈词穷	屈短亏 穷尽 理亏 无话可说
师出无名	师 军队 名 名义 引伸 理由 出兵 正当理由 引申为 做 某事 正当理由
不攻自破	无须 攻击 破灭 形容 论点 站不住脚 经不起 反驳 攻击
平白无故	平白 凭空 缘故 指 无缘无故
无缘无故	一点 原因
岂有此理	哪有 道理 指 言行 事物 荒谬
莫名其妙	说不出 奥妙 指 事情 奇怪 说不出 道理
狗屁不通	指责 说话 文章 极不 通顺
无由	门径 机会
勉强	能力 而强
将就	事物 不太 满意 勉强 凑合
凑合	四面八方 聚到
对付	处理事务 办理
结结巴巴	形容 说话 流利 比喻 凑合 勉强
勉为其难	勉 勉强 做 勉强 做 力所不及 不愿 做 事
削足适履	适 履鞋 鞋 小脚 脚 削去 一块 凑和 鞋 大小 比喻 不合理 迁就 凑合 不顾 具体条件 生搬硬套
勉勉强强	凑合着
凑和	拼凑
不变	
静止	停止 不动
一成不变	成 制定 一经 改变
原封不动	原封 开封 贴 封口 动过 比喻 原样 一点 不加 变动
雷打不动	形容 态度 坚定 不可动摇 形容 严格遵守 变更
板上钉钉	石板 钉 铁钉 比喻 事情 改变
不二价	价 一律 不卖 两种 价钱
划一不二	指 定价 卖出 打折扣 形容 做事 刻板
一如既往	从前 已往 指 态度 变化 从前
一仍旧贯	全 因袭 贯 习惯 办法 执照 老规矩 办事 丝毫 改变
依然如故	依然 从前 指人 长进 从前 样子
依然故我	形容 从前 变得 更好
以不变应万变	办事 观察 变化 处变不惊
有序	规律 接连起来 元素 特指 元素 对称 传递 关系 相连 系着 性质
言无二价	货物 价钱 说一不二
平平稳稳	NONE
稳步	稳重 步子
平稳	平稳 安定 波动 危险 局势 ~｜ 物价 ~｜ 病情 ~｜ 汛期 海河 水情
数年如一	NONE
一动不动	形容
文风不动	一点儿 不动 形容 丝毫 损坏 改变
改头换面	NONE
换汤不换药	煎药 水换 药方 变 比喻 名称 形式 改变 内容 老一套
万变不离其宗	宗 宗旨 目的 形式 变化多端 其本质 目的
定型	事物 基本要素 逐步形成 固定
千古不变	NONE
居高不下	下降 趋势
活化资本	NONE
生动	具有活力 感动
潇洒	NONE
飘洒	形 姿态 自然 呆板
活泼	生动 自然 活跃
活跃	活泼
活	NONE
栩栩如生	栩栩 活泼生动 样子 指 艺术形象 逼真
绘声绘色	人物 声音 神色 描绘出来 形容 叙述 描写 生动 逼真
绘影绘声	形容 叙述 描写 生动 逼真
绘声绘影	形容 叙述 描写 生动 逼真
有声有色	形容 说话 表演 精彩 生动
声情并茂	茂 草木 丰盛 样子 引伸 美好 指 演唱 音色 唱腔 表达 感情 动人
有血有肉	比喻 富有 生命 活力 内容 形容 文艺作品 中 人物形象 生动
令人神往	令使 神往 心神 向往 使人 向往
穷形尽相	原指 描写 刻画 细致 生动 指 丑态毕露
娓娓动听	形容 善于 讲话 使人 喜欢 听
颊上添毫	颊 面颊 毫 毫毛 画像 时 脸上 添上 几根 毫毛 比喻 文章 润色 精采
呼之欲出	呼叫 喊 形容 人像画 逼真 一声 画 中 走 泛指 文学作品 中 人物 描写 生动
跃然纸上	活跃 呈现 纸 形容 文学作品 叙述 描写 真实 生动
声泪俱下	说 哭 形容 悲恸
情真词切	NONE
鲜活	鲜灵 活泼
图文并茂	指 书刊 中 文字 流畅 插图 精美
大张旗鼓	张 陈设 展示 旗鼓 旗帜 战鼓 形容 进攻 声势 规模 很大 形容 群众 活动 声势 规模 很大
雷厉风行	NONE
雷霆万钧	霆 急雷钧 古代 重量 单位 三十斤 一钧 形容 威力 阻挡
轰轰烈烈	轰轰 象声词 形容 声响 烈烈 火焰 炽盛 样子 形容 事业 兴旺 形容 声势浩大 气魄 宏伟
如火如荼	荼 茅草 白花 火 红像 荼 白原 比喻 军容 之盛现 形容 大规模 气势 旺盛 气氛 热烈
风起云涌	大风 刮起 乌云 涌现 比喻 新 事物 相继 兴起 声势 很盛
叱咤风云	叱咤 怒喝 声 一声 呼喊 怒喝 风云 翻腾 形容 威力
暴风骤雨	暴骤 急速 猛 急 大风雨 比喻 声势浩大 发展 急速 猛烈
急风暴雨	急 猛暴 猛烈 形容 风雨 来势 猛 比喻 迅猛 激烈 斗争
天崩地裂	天 塌下 裂开 比喻 事变
飞砂走石	砂土 飞扬 小石 翻滚 形容 风力 迅猛
天翻地覆	NONE
地覆天翻	NONE
天旋地转	天地 比喻 变化 形容 眩晕 时 感觉 闹 凶
震天动地	震 震动 动摇 动 震动 天地 形容 声音 声势
移山倒海	搬动 大山 翻倒 大海 比喻 人类 改造 自然 巨大力量 雄伟 气概
泰山压顶	泰山 压在 头上 比喻 遭遇 压力 打击
势如破竹	势 气势 威力 形势 劈 竹子 头上 几节 破开 各节 刀势 分开 比喻 节节胜利 阻碍
一往无前	往前 无所 阻挡 形容 勇猛 无畏地
势不可当	抵挡 形容 来势 迅猛 抵挡
锐不可当	锐 锐气 抵挡 形容 勇往直前 气势 抵挡
风卷残云	NONE
摧枯拉朽	枯朽 枯草 朽木 摧折 枯朽 草木 形容 轻而易举 比喻 摧毁 腐朽 势力 强大 气势
劈头盖脸	劈 正对着 冲着 盖压 正对着 头 脸盖 形容 打击 冲击 批评 来势 猛
泰山压卵	泰山 压 蛋 比喻 力量 相差 强大 一方 压倒 弱小 一方
来势汹汹	动作 或事物 到来 气势 厉害
气势汹汹	汹汹 气势 盛大 样子 形容 气势 凶猛
势不可挡	来势 迅猛 抵挡
劈天盖地	划破 天空 笼罩着 大地 形容 声势浩大
撼天动地	天地 震动 形容 声势浩大
大肆	毫无顾忌
隆重	盛大 庄重 盛大 庄严 特别 形式 特征
死去活来	指因 疼痛 悲哀 晕过去 醒过来 形容 很惨 哭 厉害
深刻	指 感受 程度 很深
深入	研究 思考 深刻 透彻
深切	真挚 恳切
尖锐	物体 末端 锋利
刻骨	形容 永难 忘记
透彻	显明 通彻
透辟	透彻 精辟
深透	深刻 透彻
中肯	指 言论 正中要害 扼要 肯切
透	穿通 明 镜 视 析 渗 穿
沦肌浃髓	沦 浃 通彻 透入 肌肉 骨髓 比喻 感受 深刻
刻骨铭心	NONE
铭心刻骨	刻写 心上 骨上 形容 记忆 深刻 难以 忘记
铭肌镂骨	形容 感受 极深 永记 忘
刻肌刻骨	形容 感受 深刻
入木三分	相传 王羲之 木板 写字 木工 刻时 发现 字迹 透入 木板 三分 深 形容 书法 极有 笔力 现多 比喻 分析 深刻
力透纸背	透 穿过 形容 书法 刚劲有力 笔锋 透到 纸张 背面 形容 诗文 立意 深刻 词语 精练
鞭辟入里	鞭辟 鞭策 激励 里 最里层 形容 作 学问 切实 形容 分析 透彻 切中要害
一针见血	比喻 说话 直截了当 切中要害
一语道破	道 说破 揭穿 一句 话 说穿
一语破的	箭靶 中心 一句 话 说 中 要害
谈言微中	NONE
深深	形容 程度 深
深深的	NONE
递进	程度 依次 加深
恩同再造	再造 再生 使人 再生 恩惠 比喻 恩情 象救 性命
恩重如山	恩情 深厚 山 深重
再生父母	NONE
肤浅	学识   浅薄 理解   深刻
浮浅	不深 肤浅
浮泛	悬浮 动荡
泛泛	荡漾 样子 浮动 样子 泛泛 其景 诗 邶 风二子 乘舟
皮毛	带毛 兽皮 总称
皮相	表面现象 透彻
浅	表面 外面 距离 深 深 ～～ 滩 海 屋子 进深
蜻蜓点水	指 蜻蜓 水面 飞行 时用 尾部 轻触 水面 动作 比喻 做事 肤浅
轻描淡写	原指 描绘 时用 浅淡 颜色 轻轻地 笔现 多指 说话 写文章 轻轻 带过
走马看花	走马 骑着马 跑 骑 奔跑 马上看花 原 形容 事情 如意 心境 愉快 多指 观察
浮光掠影	水面 掠过 影子 一晃 消逝 比喻 观察 细致 学习 印象 深刻
浅尝辄止	辄 尝试 停下来 指 钻研
只鳞片爪	NONE
渺小	指 微小 无关紧要 常指 同类 事物 中 相比 时较 卑贱
藐小	微小
不起眼	引人注目
看不上眼	NONE
不足道	值得 说
微不足道	微细 小足 值得 道 谈起 微小 值得一提 指 意义 价值 值得一提
不在话下	指 事物 轻微 理所当然 值得一提
不值一提	值得 提起
不屑一顾	不屑 值得 顾看 值得一看 形容 轻视
不足挂齿	值得 挂齿 放在 嘴上 讲 值得一提
无足轻重	不轻些 重些 指 无关紧要
一文不值	指 毫无价值
一钱不值	铜钱 不值 比喻 毫无价值
沧海一粟	粟 谷子 小米 海里 一粒 谷子 比喻 渺小
太仓一粟	太仓 古代 设在 京城 中 谷仓 粮仓 里 一粒 谷子 比喻 数量 中 数目
九牛一毛	九条 牛 身上 一根 毛 比喻 数量 中 极微小 数量 微不足道
威武	威力 强大 气势
威严	威武 严肃
威风	使人 敬畏 气势 气派
赳赳	威武雄壮 样子
虎彪彪	形容 威武 健壮
堂堂	NONE
英武	英俊 勇武
英姿飒爽	NONE
英姿焕发	英姿 英勇 威武 姿态 焕发 光彩四射 形容 英俊 威武 样子
英姿勃勃	英俊 富有 朝气 样子
威风凛凛	威风 威严 气概 凛凛 严肃 敬畏 样子 形容 声势 气派 使人 敬畏
八面威风	威风 令人敬畏 气势 各个方面 威风 形容 神气 足 声势 盛
虎背熊腰	背 宽厚 如虎 腰 粗壮 如熊 形容 身体 魁梧 健壮
虎虎有生气	形容 勇猛 威武
气概不凡	气势 度量 不同凡响
叱咤风云	叱咤 怒喝 声 一声 呼喊 怒喝 风云 翻腾 形容 威力
龙腾虎跃	龙 飞腾 虎 跳跃 形容 跑跳 时 动作 矫健 比喻 奋起 有所作为
龙骧虎步	龙 高大 马 古称 八尺 马为 龙骧 马 高扬 头 样子 象 龙马 昂首 老虎 迈步 形容 气慨 威武雄壮
一呼百诺	NONE
气昂昂	充满 生气 精神饱满 精神抖擞
虎虎生气	NONE
身高马大	NONE
人高马大	比喻 人生 高大 壮实   身材 魁梧
虎虎生威	老虎 一种 令人敬畏 气势
居高临下	居站 处于 面对 占据 高处 俯视 形容 占据 地势
高屋建瓴	建 倒水 泼水 瓴 盛水 瓶子 瓶子 里 水 高层 顶上 倾倒 比喻 居高临下 阻遏
蔚为大观	蔚 茂盛 大观 盛大 景象 发展 盛大 壮观 景象 形容 事物 美好 繁多 一种 盛大 印象
大气磅礴	磅礴 广大无边 际 样子 形容 气势浩大
气势磅礴	磅礴 广大无边 样子 形容 气势雄伟 壮大
大观	景象 盛大 壮观
洋洋大观	洋洋 盛大 众多 样子 大观 丰富多采 景象 形容 美好 事物 众多 丰盛
奔放	思想感情 诗文 气势 无拘束 表达出来
豪放	NONE
恣意	放纵 不加 任意
纵横	竖 横 交错
无拘无束	拘束 约束 形容 自由自在 牵挂
一泻千里	泻水往 直注 形容 江河 奔流 直 下流 远 比喻 文笔 乐曲 气势 奔放 形容 价格 猛跌
挥洒自如	挥 挥笔 酒洒 墨 形容 画画 写字 作文 运笔 随心所欲
天马行空	神马 空中 奔腾 飞驰 形容 诗文 书法 言行 气势 豪放 不受 拘束
纵横驰骋	南北 方向 横 东西 方向 驰骋 纵马 疾驰 不受 阻挡 往来 奔驰 形容 英勇 所向无敌 比喻 写作 才思 奔放 意到笔随
龙飞凤舞	NONE
鸾飘凤泊	NONE
惊蛇入草	NONE
石破天惊	原 形容 箜篌 声音 忽而 高亢 忽而 低沉 出人意外 难以形容 奇境 比喻 文章 议论 新奇 惊人
浑洒自如	形容 写诗 作画 运笔 自如 不容 拘束 形容 事情 干练 娴熟
龙翔凤翥	NONE
无羁无束	NONE
雄赳赳	英勇无畏 气质 状态
赏罚分明	该赏 赏 罚 罚 形容 事情 公正
信赏必罚	NONE
激浊扬清	NONE
彰善瘅恶	彰 显扬 瘅 憎恨 表扬 斥责 恶
奖罚分明	该赏 赏 罚 罚 含糊
黑暗	光亮
暗无天日	昏暗 看不到 天上 日光 形容 反动势力 统治 社会 黑暗
漆黑一团	形容 黑暗 一点 光明 形容 事情 一无所知
一团漆黑	形容 黑暗 一点 光明 形容 事情 一无所知
天昏地暗	昏 天黑 天地 昏黑 无光 形容 刮 大风 时 漫天 沙土 景象 比喻 政治腐败 社会 黑暗
昏天黑地	形容 天色 昏暗 比喻 社会 黑暗 混乱
乌烟瘴气	乌烟 黑烟 瘴气 热带 山林 中 一种 湿热 空气 旧时 瘴疠 病原 比喻 环境 嘈杂 秩序 混乱 社会 黑暗
